id,object_name,object_id,start_time,end_time,duration,aspect_ratio
UXR_bqyAy4E,person,e453cd5e,579.96,636.84,56.88,1.3623090959983677
UXR_bqyAy4E,coat,6a0c2e07,579.96,636.84,56.88,1.655948912149299
p59ZDdxszkk,tie,6cb0a8bc,7.08,63.72,56.64,0.3506560330049761
p59ZDdxszkk,suit,e96c7fb2,99.24,154.68,55.44,1.1834618590077752
8AcQ8C9xa-A,lighting,efeb69ae,430.08,483.24,53.16,0.4461632864098943
8AcQ8C9xa-A,tie,44a5e560,430.08,483.24,53.16,0.3770783862771008
8AcQ8C9xa-A,picture frame,9b588424,430.08,483.24,53.16,1.3368338117177874
8AcQ8C9xa-A,person,e3229b4d,430.2,483.24,53.04,0.9676748464994802
p59ZDdxszkk,flag,4c507dfa,288.84,337.08,48.24,0.1890295030906297
8AcQ8C9xa-A,person,1addfadb,382.56,429.96,47.4,1.1978622952613645
8AcQ8C9xa-A,outerwear,cac3fa5b,382.56,429.96,47.4,2.003404513862328
UXR_bqyAy4E,person,2426728f,425.04,472.44,47.4,0.4691724528708137
8AcQ8C9xa-A,picture frame,0d5e6924,382.56,429.96,47.4,1.2486525611364878
8AcQ8C9xa-A,person,0e7e46e2,382.56,429.96,47.4,1.021732401820186
8AcQ8C9xa-A,tie,d9985b98,382.56,429.96,47.4,0.3809759559917103
5VPmpRR09ZU,outerwear,5c112777,300.24,346.44,46.2,1.4242233720425514
5VPmpRR09ZU,person,5e5916ba,300.24,346.44,46.2,1.0792852828619062
p59ZDdxszkk,coat,0ee3ead3,501.84,548.04,46.2,1.1411144279590468
UXR_bqyAy4E,person,66369132,0.96,45.6,44.64,0.6060603239683381
FiJTenAqt5M,suit,05db600b,149.04,193.56,44.52,2.1896847603390857
FiJTenAqt5M,person,ea0fca2b,149.04,193.56,44.52,1.1314464992052775
FiJTenAqt5M,tie,862e6211,149.04,193.56,44.52,0.4347506041684369
UXR_bqyAy4E,person,8c5c234b,1.56,45.6,44.04,0.3697486694896854
UXR_bqyAy4E,outerwear,bce3d4a3,2.28,45.6,43.32,0.603366530343511
EJMaCyibnsM,person,b645434d,0.0,43.32,43.32,0.5194386764586474
UXR_bqyAy4E,coat,cd9da6c2,659.4,702.12,42.72,1.6143442784175388
UXR_bqyAy4E,tie,28e9c09a,659.4,702.12,42.72,0.2673556218429868
UXR_bqyAy4E,person,e2b80c01,659.52,702.12,42.6,1.019528595917937
UXR_bqyAy4E,glasses,1ad19af1,659.4,701.64,42.24,2.7985022480884165
EJMaCyibnsM,outerwear,446f2ea6,1.8,43.32,41.52,0.6696518811536589
UXR_bqyAy4E,tie,b1100b07,595.56,636.84,41.28,0.2643388565221634
UXR_bqyAy4E,person,7304fa17,516.12,556.68,40.56,0.447220172063331
UXR_bqyAy4E,person,b1a8e0b0,5.4,45.6,40.2,0.3426103183625321
p59ZDdxszkk,flag,bd2716fb,11.04,51.0,39.96,0.3855643269277935
p59ZDdxszkk,suit,d52287d7,291.72,330.96,39.24,1.0127348469040018
WlLChq8FUxY,top,eb687547,0.0,38.16,38.16,1.235431868710112
WlLChq8FUxY,person,e8750f09,0.0,38.16,38.16,0.6405301179867074
UXR_bqyAy4E,tie,4289763a,7.68,45.6,37.92,0.3205417116351808
FiJTenAqt5M,glasses,723b66db,35.4,73.32,37.92,1.753962579361867
FiJTenAqt5M,person,a96df78a,35.4,73.32,37.92,0.8837492291168279
FiJTenAqt5M,person,275f43fb,35.4,73.32,37.92,1.0973701585412567
UXR_bqyAy4E,person,c6c92491,255.0,292.68,37.68,0.8931481920286483
p59ZDdxszkk,flag,1839c4ee,267.6,305.28,37.68,0.3492371301721443
UXR_bqyAy4E,glasses,b42a9602,598.92,636.48,37.56,3.2259856434343983
UXR_bqyAy4E,tie,2204a842,255.24,292.68,37.44,0.2242186116526092
UXR_bqyAy4E,person,acf9f6db,8.28,45.6,37.32,0.7852144392643398
p59ZDdxszkk,coat,7fdaa730,463.68,500.04,36.36,1.3157657972253771
UXR_bqyAy4E,person,9fe2fa33,9.24,45.6,36.36,0.9943703394598252
p59ZDdxszkk,person,8d71f6de,463.56,499.2,35.64,2.018254800566207
EJMaCyibnsM,flag,c13fb49a,4.92,40.2,35.28,0.424163370258419
FiJTenAqt5M,person,ca009f8f,0.0,35.28,35.28,0.5773416179586083
FiJTenAqt5M,top,4e8b4a8d,0.0,35.28,35.28,0.9330995248634484
WlLChq8FUxY,packaged goods,02f2f3db,5.04,38.16,33.12,3.253520265483665
UXR_bqyAy4E,outerwear,f9ddb58b,382.2,414.84,32.64,0.4623463116986314
p59ZDdxszkk,flag,6c383a4f,499.8,532.32,32.52,0.2837942265968335
UXR_bqyAy4E,person,e2f97689,409.68,441.6,31.92,0.3689361426450845
p59ZDdxszkk,flag,7593673f,0.0,31.08,31.08,0.6377274705051126
5VPmpRR09ZU,outerwear,55ff6cc7,391.92,422.28,30.36,1.4959312056363363
5VPmpRR09ZU,person,7c3ae7c3,391.92,422.28,30.36,1.1464185039036603
8AcQ8C9xa-A,packaged goods,21064340,399.72,429.96,30.24,0.9205710953307286
UXR_bqyAy4E,person,1c721c4a,442.68,472.44,29.76,0.4042893154247381
UXR_bqyAy4E,top,ec12aebe,517.8,547.32,29.52,0.622158586986764
UXR_bqyAy4E,person,bf3c2711,382.2,411.72,29.52,0.5663458608828663
FiJTenAqt5M,tie,10f99227,43.8,73.32,29.52,1.4476186877885515
UXR_bqyAy4E,person,38c82657,191.28,220.56,29.28,1.0708048249030684
UXR_bqyAy4E,person,461cbb80,191.28,220.56,29.28,0.6413911286063171
UXR_bqyAy4E,tie,97515cc4,191.28,220.56,29.28,0.3751774105582152
UXR_bqyAy4E,tie,7deb404a,191.28,220.56,29.28,0.2432189935352829
UXR_bqyAy4E,tie,28c8077d,191.28,220.56,29.28,0.3603252616656721
UXR_bqyAy4E,coat,58e4898a,191.4,220.56,29.16,1.062391903989498
UXR_bqyAy4E,person,16d9050e,443.52,472.44,28.92,0.3545813693531791
EJMaCyibnsM,tie,31cb577c,572.88,601.8,28.92,0.4063977659493819
EJMaCyibnsM,flag,38d5580e,572.88,601.8,28.92,0.4233672143608714
EJMaCyibnsM,person,4c79b34c,573.12,601.8,28.68,1.165246991668753
p59ZDdxszkk,coat,6ead7f7f,549.24,577.44,28.2,0.8135493795342496
UXR_bqyAy4E,person,5fdf270b,191.28,218.76,27.48,0.7517764239998251
UXR_bqyAy4E,coat,8e692bdb,193.56,220.56,27.0,0.7000377791634586
FiJTenAqt5M,person,c4b586e3,122.04,148.92,26.88,1.1584809428861411
FiJTenAqt5M,person,0b8edd3e,122.04,148.92,26.88,1.2219547130172583
FiJTenAqt5M,tie,ae8c546c,122.04,148.92,26.88,0.4393237227388401
5VPmpRR09ZU,top,12646709,496.08,522.72,26.64,2.4139129195333244
5VPmpRR09ZU,person,85227c53,496.08,522.72,26.64,1.096855677684658
WlLChq8FUxY,tie,18992835,246.6,273.12,26.52,0.2806985687147373
WlLChq8FUxY,person,5ad887e4,246.6,273.12,26.52,0.8705391533949572
WlLChq8FUxY,flag,6625705f,246.6,273.12,26.52,0.3839285001282216
WlLChq8FUxY,picture frame,f9a065bb,246.6,273.12,26.52,2.5477912251422805
EJMaCyibnsM,flag,345d00f8,573.12,599.64,26.52,0.3092742385242103
WlLChq8FUxY,outerwear,5004f3a8,298.92,325.2,26.28,3.1061116050606925
WlLChq8FUxY,glasses,40a35763,298.92,325.2,26.28,2.8616705700466376
WlLChq8FUxY,person,e3e60866,299.16,325.2,26.04,1.2295932022813678
UXR_bqyAy4E,person,a656cd05,80.64,106.32,25.68,0.7854839733197968
UXR_bqyAy4E,person,0b74dcfc,410.16,435.84,25.68,0.6638221605297469
UXR_bqyAy4E,person,f85ae910,382.2,407.76,25.56,0.3423995148699131
WlLChq8FUxY,tie,1cf761d2,221.04,246.48,25.44,0.2789270487158815
WlLChq8FUxY,picture frame,9d39f142,221.04,246.48,25.44,2.5389112846521296
WlLChq8FUxY,person,3fc0230b,221.04,246.48,25.44,0.945114278568742
WlLChq8FUxY,flag,061bd71b,221.04,246.48,25.44,0.3776810512472695
WlLChq8FUxY,flag,00f5745b,221.04,246.36,25.32,0.3863366700411347
WlLChq8FUxY,flag,a16c40dc,248.28,273.12,24.84,0.3841073102338747
jwqrVwh0ZpQ,person,86581d1b,0.0,24.72,24.72,0.7865776434184053
jwqrVwh0ZpQ,person,6d1afb61,0.0,24.72,24.72,0.5179552306779893
jwqrVwh0ZpQ,person,1ba7e141,0.0,24.72,24.72,1.209699173440927
jwqrVwh0ZpQ,person,c0a8deb3,0.0,24.72,24.72,0.622023334272272
jwqrVwh0ZpQ,person,bc8603ea,0.36,24.72,24.36,0.557776718276662
p59ZDdxszkk,flag,c80fde67,89.76,113.76,24.0,1.007796133177892
EJMaCyibnsM,outerwear,3e96bdb5,43.44,66.72,23.28,1.5296040742498596
EJMaCyibnsM,person,63417888,374.4,397.56,23.16,0.8060037443240696
EJMaCyibnsM,person,735914ac,43.56,66.72,23.16,1.0294838618327289
UXR_bqyAy4E,outerwear,242de106,556.8,579.84,23.04,0.7616985836651254
UXR_bqyAy4E,person,30526442,556.8,579.84,23.04,0.7243929779838273
UXR_bqyAy4E,person,93c84930,556.92,579.84,22.92,1.0089118878083316
QYgKCy64CV0,person,7f5b0bd2,0.0,22.8,22.8,0.5428115932537498
QYgKCy64CV0,top,f6ba17f0,0.0,22.8,22.8,1.274706414902253
p59ZDdxszkk,tie,9167c7cd,161.16,183.84,22.68,0.3270746026043123
p59ZDdxszkk,suit,eb55ab01,161.16,183.84,22.68,1.2300072453041944
p59ZDdxszkk,person,9e04ea36,161.16,183.84,22.68,1.0951392843987977
UXR_bqyAy4E,person,c3d396f2,382.2,404.88,22.68,0.1884988852937979
p59ZDdxszkk,flag,acffb1e6,21.84,44.28,22.44,0.6238754861306791
_ZXJdYe4bpE,coat,750a6f64,295.08,317.28,22.2,1.685956455866105
_ZXJdYe4bpE,person,bced21f2,295.08,317.28,22.2,1.073687455843625
WlLChq8FUxY,packaged goods,cf30e933,91.44,113.4,21.96,1.8957448270523287
WlLChq8FUxY,person,18fed300,91.44,113.4,21.96,0.6468835952648552
WlLChq8FUxY,packaged goods,85d017df,91.44,113.4,21.96,3.184717246830972
WlLChq8FUxY,top,74df88bc,91.44,113.4,21.96,1.259142222838187
p59ZDdxszkk,flag,e6ef87f8,0.96,22.8,21.84,0.6852650292377608
jwqrVwh0ZpQ,outerwear,c0527c9c,107.28,128.4,21.12,1.1769989968098329
UXR_bqyAy4E,person,03c31230,106.44,127.32,20.88,0.8416892652741158
5VPmpRR09ZU,top,0430f1aa,422.4,443.04,20.64,1.4721978774694715
5VPmpRR09ZU,person,c5a216f9,422.4,443.04,20.64,0.8769204374651506
jzsiDRP5gXc,person,3a7a931a,489.48,510.12,20.64,0.814608554709096
UXR_bqyAy4E,pants,97442952,536.16,556.68,20.52,0.4668903679120107
5VPmpRR09ZU,coat,eb56774c,560.52,581.04,20.52,1.8189326050636856
5VPmpRR09ZU,person,f2aadff7,560.52,581.04,20.52,1.1964532799933527
5VPmpRR09ZU,top,8588dffb,560.52,581.04,20.52,1.019356721518179
5VPmpRR09ZU,person,a6d4a6d1,560.52,581.04,20.52,0.6989784963069132
5VPmpRR09ZU,person,a53eaa70,422.64,443.04,20.4,0.711580711109705
5VPmpRR09ZU,tie,2e8402e9,422.64,443.04,20.4,0.4265756926104246
5VPmpRR09ZU,tie,415641d6,422.64,443.04,20.4,0.3657238622957941
5VPmpRR09ZU,person,b137d16f,157.92,178.2,20.28,0.9279422970333224
FiJTenAqt5M,outerwear,1a8da124,51.84,72.12,20.28,2.32641519169054
5VPmpRR09ZU,tie,b111afac,157.92,178.2,20.28,0.2365086150651155
5VPmpRR09ZU,suit,aacc892b,157.92,178.2,20.28,1.3038276223942835
5VPmpRR09ZU,person,0caa3fcb,422.88,443.04,20.16,0.8871826278284531
p59ZDdxszkk,flag,c99ed0a7,344.76,364.8,20.04,0.4108918644427329
UXR_bqyAy4E,person,f1a541f6,383.76,403.8,20.04,0.3750108208993413
5VPmpRR09ZU,outerwear,5701714d,423.0,443.04,20.04,1.1656264257798714
UXR_bqyAy4E,person,27bf1766,438.12,458.16,20.04,0.3507172561616679
p59ZDdxszkk,flag,5c778bf4,366.12,386.04,19.92,0.7846039974947614
EJMaCyibnsM,outerwear,ae925d42,397.68,417.48,19.8,1.471074085708524
EJMaCyibnsM,flag,3345ecf3,601.92,621.6,19.68,0.485527519584214
EJMaCyibnsM,flag,0016c9ea,601.92,621.6,19.68,0.3891554565551311
EJMaCyibnsM,tie,d1ae8743,601.92,621.6,19.68,0.445888432136129
EJMaCyibnsM,person,3a9fc16a,601.92,621.6,19.68,1.163839734734638
EJMaCyibnsM,person,05eda3cc,397.8,417.48,19.68,1.0165976799717549
EJMaCyibnsM,flag,eff74d18,397.92,417.48,19.56,1.1128351313707812
EJMaCyibnsM,flag,50dfcf7e,397.92,417.48,19.56,1.304390774139438
EJMaCyibnsM,flag,bfe58132,397.68,417.24,19.56,1.4561326078550536
UXR_bqyAy4E,tie,e7882580,292.8,312.24,19.44,0.3779320129344077
UXR_bqyAy4E,outerwear,c006e919,292.8,312.24,19.44,1.7078150038955209
p59ZDdxszkk,flag,e0e51b74,369.36,388.8,19.44,0.4704649932690224
UXR_bqyAy4E,person,8fdcf6df,292.8,312.24,19.44,1.1156283956858928
p59ZDdxszkk,flag,ef5a40c8,105.6,124.92,19.32,0.2984652686006959
5VPmpRR09ZU,top,18a5934c,280.92,300.12,19.2,1.8516071955441773
5VPmpRR09ZU,outerwear,9c52ecee,423.96,443.04,19.08,0.8175271349477197
UXR_bqyAy4E,top,6e88119d,535.8,554.76,18.96,0.4847253382633208
5VPmpRR09ZU,person,e31e4abe,281.16,300.12,18.96,1.0697669024033414
8AcQ8C9xa-A,tie,d6b55fd9,357.72,376.68,18.96,0.3984119809971366
8AcQ8C9xa-A,packaged goods,794c48d0,357.72,376.68,18.96,0.9126253079782702
EJMaCyibnsM,person,13ef074b,378.6,397.56,18.96,0.820573463377891
8AcQ8C9xa-A,person,a2e0c5ae,357.72,376.68,18.96,1.021459397931505
EJMaCyibnsM,person,f3dcef46,536.04,554.88,18.84,0.9781751920373852
EJMaCyibnsM,suit,185fb0e6,536.04,554.88,18.84,2.5233688796880185
8AcQ8C9xa-A,pants,b156c104,108.6,127.44,18.84,1.182351002857592
8AcQ8C9xa-A,person,0e7af1ce,108.6,127.44,18.84,0.5310055848317274
p59ZDdxszkk,flag,e5aa45b1,20.76,39.6,18.84,0.4289555703782846
p59ZDdxszkk,person,fd1ee55f,67.32,86.04,18.72,0.8017122402982408
8AcQ8C9xa-A,outerwear,b4af7fb8,108.72,127.44,18.72,0.5421518246989313
p59ZDdxszkk,flag,25674183,526.2,544.92,18.72,0.3836222794095602
EJMaCyibnsM,outerwear,3e79e0aa,378.96,397.56,18.6,1.025565249254597
p59ZDdxszkk,flag,e4c7a7a1,404.4,423.0,18.6,1.4716988054604956
5VPmpRR09ZU,picture frame,3c8442c6,373.2,391.8,18.6,1.344285816953916
EJMaCyibnsM,person,088b8581,536.04,554.64,18.6,1.2786529747645494
5VPmpRR09ZU,picture frame,a678e1dc,373.2,391.8,18.6,1.1586563794156002
5VPmpRR09ZU,person,c5aae4e1,62.4,81.0,18.6,0.5356375924702113
5VPmpRR09ZU,person,381a8110,62.4,81.0,18.6,0.7253509347980112
5VPmpRR09ZU,dress,8f8f3532,62.4,81.0,18.6,1.1388471945643204
5VPmpRR09ZU,person,40f2e942,62.52,81.0,18.48,0.3973557187026733
8AcQ8C9xa-A,person,40f03433,246.0,264.36,18.36,0.7748704603228901
8AcQ8C9xa-A,person,716dfdc9,246.0,264.36,18.36,1.1525572759091502
8AcQ8C9xa-A,person,157f909f,246.0,264.36,18.36,0.8057277477407703
8AcQ8C9xa-A,picture frame,06be9ec9,483.36,501.72,18.36,1.2653248657049552
8AcQ8C9xa-A,person,6ccd9464,483.36,501.72,18.36,1.2580568270648564
8AcQ8C9xa-A,person,f88ec7ac,246.0,264.36,18.36,0.5676839008066531
8AcQ8C9xa-A,person,2d92615f,246.0,264.36,18.36,0.7412221026285603
8AcQ8C9xa-A,person,053ee677,483.36,501.72,18.36,1.0065283764346746
8AcQ8C9xa-A,person,25295494,246.0,264.36,18.36,0.8825315897744466
8AcQ8C9xa-A,person,7cb7ca54,246.0,264.36,18.36,0.7918847317705566
8AcQ8C9xa-A,person,564407b3,246.0,264.36,18.36,0.4118618710629055
8AcQ8C9xa-A,outerwear,fc927bbe,483.36,501.72,18.36,2.0659825806058985
8AcQ8C9xa-A,tie,c2b66dbe,483.36,501.72,18.36,0.3647576403372928
8AcQ8C9xa-A,packaged goods,ae44f8c6,483.36,501.72,18.36,0.928004542506796
p59ZDdxszkk,flag,5fe4416e,309.96,328.2,18.24,0.51510230678666
WlLChq8FUxY,top,1734f572,160.68,178.8,18.12,1.320852056208549
p59ZDdxszkk,flag,f63c0256,104.16,122.28,18.12,0.2601090747005393
WlLChq8FUxY,packaged goods,0daebda3,160.68,178.8,18.12,3.23568271341093
5VPmpRR09ZU,outerwear,a7d10a33,581.16,599.16,18.0,2.841435226105785
5VPmpRR09ZU,tie,75bcb913,581.16,599.16,18.0,0.7642259556532652
5F1LC4QmkRA,person,d177c23c,0.0,18.0,18.0,1.1570189439738543
8AcQ8C9xa-A,person,f4e70869,246.36,264.36,18.0,0.8304259998804204
p59ZDdxszkk,flag,951f5d5d,293.64,311.64,18.0,0.5439734695420751
5F1LC4QmkRA,tie,b1da003a,0.0,18.0,18.0,0.4018932013139422
5F1LC4QmkRA,flag,b08b3b6f,0.0,18.0,18.0,0.3744883687227194
WlLChq8FUxY,person,08c06c39,160.92,178.8,17.88,0.6811817479108008
p59ZDdxszkk,flag,756a1121,87.12,105.0,17.88,0.9483508458317688
EJMaCyibnsM,flag,028454f2,399.6,417.48,17.88,1.2286943378442066
EJMaCyibnsM,glasses,41ddf9b3,43.44,61.2,17.76,2.946486957773173
QYgKCy64CV0,person,e5673b9d,5.04,22.8,17.76,0.9726162706611304
5VPmpRR09ZU,person,a3ec0da2,581.4,599.16,17.76,1.4054725074043972
5VPmpRR09ZU,person,5293945e,15.24,32.88,17.64,0.6768244052906369
5VPmpRR09ZU,top,d39e41dc,15.24,32.88,17.64,1.0231406322419698
p59ZDdxszkk,flag,a6103caf,348.6,366.24,17.64,0.3467334710456595
p59ZDdxszkk,flag,b102db1a,545.52,563.16,17.64,0.6237217013332418
5VPmpRR09ZU,person,91e3f77e,425.52,443.04,17.52,0.7483326109596267
5VPmpRR09ZU,outerwear,67059b46,132.84,150.36,17.52,1.0730224955823675
5VPmpRR09ZU,person,7f530e6c,132.96,150.36,17.4,0.9060736873964644
jzsiDRP5gXc,person,c161951d,554.16,571.56,17.4,0.7215645560261611
EJMaCyibnsM,hat,4d67dd7d,380.28,397.56,17.28,1.2053906730540678
p59ZDdxszkk,flag,48f20c13,379.32,396.6,17.28,0.3730162420183909
WlLChq8FUxY,furniture,0e1a661e,307.92,325.2,17.28,6.287302495758955
jzsiDRP5gXc,outerwear,dd41e1f0,554.16,571.32,17.16,1.0259386145555969
5VPmpRR09ZU,person,9eaf859e,133.2,150.36,17.16,0.9136064223581456
5VPmpRR09ZU,outerwear,337fa214,133.2,150.36,17.16,0.9767520929930852
5VPmpRR09ZU,person,d7e270a4,133.2,150.36,17.16,0.3226666136232407
_ZXJdYe4bpE,person,b420ab99,104.64,121.68,17.04,1.006522629883697
UXR_bqyAy4E,person,a8ac07ad,355.68,372.6,16.92,0.3933336142893686
p59ZDdxszkk,flag,6de2cafd,325.32,342.24,16.92,0.4064504734656058
5VPmpRR09ZU,tie,7f7d7609,564.12,581.04,16.92,0.378121987888518
p59ZDdxszkk,flag,5bcdae87,538.92,555.72,16.8,1.0700806305011863
UXR_bqyAy4E,pants,b01d5787,517.68,534.48,16.8,0.4930488104196049
UXR_bqyAy4E,hat,37a4e7c3,355.68,372.36,16.68,1.4772018800794304
5VPmpRR09ZU,hat,636d4f88,133.8,150.36,16.56,1.1960656986500144
UXR_bqyAy4E,person,700aae72,355.68,372.12,16.44,0.0980362204498525
jzsiDRP5gXc,necklace,3a80b035,491.88,508.32,16.44,0.5206165053947444
p59ZDdxszkk,flag,80b25650,400.68,417.0,16.32,0.7400548696845001
p59ZDdxszkk,flag,741b1b0d,505.2,521.4,16.2,0.527713309386836
p59ZDdxszkk,flag,5434a48a,106.08,122.16,16.08,0.5417051732622086
8AcQ8C9xa-A,lighting,ccaf4c2e,501.84,517.92,16.08,0.4473629869982588
8AcQ8C9xa-A,tie,651d3971,501.84,517.92,16.08,0.3618729214662829
8AcQ8C9xa-A,picture frame,79c43635,501.84,517.92,16.08,1.3553634618779729
8AcQ8C9xa-A,person,5dadaa8c,501.84,517.92,16.08,0.9623130001853192
UXR_bqyAy4E,tie,cf76290e,579.96,596.04,16.08,0.4391745708895183
UXR_bqyAy4E,tie,17a93100,230.76,246.72,15.96,0.4296905333222574
UXR_bqyAy4E,person,872e6009,230.76,246.72,15.96,0.7444438996089077
UXR_bqyAy4E,person,4e564d4f,355.68,371.64,15.96,0.3512136017716611
5VPmpRR09ZU,person,9400c4a7,330.48,346.44,15.96,0.5308335828245545
UXR_bqyAy4E,outerwear,0a153d42,106.44,122.28,15.84,0.4867770744196987
jwqrVwh0ZpQ,person,e34275d9,112.56,128.4,15.84,0.7956715261152374
p59ZDdxszkk,flag,5ada01f6,492.0,507.84,15.84,0.3378144773953713
5VPmpRR09ZU,person,9a3c3ecd,367.8,383.64,15.84,0.4295064016942129
UXR_bqyAy4E,top,68502946,355.68,371.52,15.84,0.5972341334299524
8AcQ8C9xa-A,person,5b14c81f,269.4,285.12,15.72,0.8294936752966837
EJMaCyibnsM,person,ca180d24,374.4,390.12,15.72,0.603500442623722
8AcQ8C9xa-A,top,ff90fa93,269.4,285.12,15.72,1.429833148326117
UXR_bqyAy4E,person,7e540407,355.68,371.4,15.72,0.3588932760487002
WlLChq8FUxY,picture frame,e8f39f32,178.92,194.52,15.6,2.5770716208057256
WlLChq8FUxY,flag,ef2fe2c6,178.92,194.52,15.6,0.3754152523916941
WlLChq8FUxY,person,17708e89,178.92,194.52,15.6,0.9862567471787356
WlLChq8FUxY,tie,0eb9ba61,178.92,194.52,15.6,0.265297933929016
p59ZDdxszkk,flag,059a7237,138.36,153.96,15.6,1.0168933701285994
8AcQ8C9xa-A,shirt,9c6d2ec5,285.24,300.84,15.6,0.6163857777847673
8AcQ8C9xa-A,suit,f0ff6112,285.24,300.84,15.6,1.9676209901891977
EJMaCyibnsM,person,655d7722,378.48,394.08,15.6,0.4022576498379532
8AcQ8C9xa-A,person,2c4a8402,285.24,300.84,15.6,1.2633881195631864
UXR_bqyAy4E,person,8b5a8e8a,528.0,543.48,15.48,0.8684532369419021
QYgKCy64CV0,packaged goods,300edb2f,126.12,141.6,15.48,0.6467676540437539
QYgKCy64CV0,person,dd4cf1d7,126.12,141.6,15.48,0.628696929532136
QYgKCy64CV0,glasses,b53128e5,126.12,141.6,15.48,2.68381479998922
QYgKCy64CV0,tie,41e36025,126.12,141.6,15.48,0.5365378649639314
QYgKCy64CV0,person,30a1058a,126.12,141.6,15.48,0.8935459978269858
p59ZDdxszkk,flag,5470b62e,120.72,136.2,15.48,0.8193548206681379
p59ZDdxszkk,flag,a31b3e23,371.28,386.64,15.36,0.4977185596193822
p59ZDdxszkk,flag,50a1ceb6,230.52,245.88,15.36,0.1878641349394123
UXR_bqyAy4E,outerwear,6bea123c,231.36,246.72,15.36,1.1739798913635655
5VPmpRR09ZU,tie,60cc87ab,244.92,260.16,15.24,0.2701723078102823
5VPmpRR09ZU,person,1df1c2a5,244.92,260.16,15.24,1.063109507547869
5VPmpRR09ZU,curtain,8441f0f1,244.92,260.16,15.24,1.986671376622136
5VPmpRR09ZU,suit,6ad0baad,244.92,260.16,15.24,0.979538720917401
8AcQ8C9xa-A,outerwear,ebe2abe5,220.92,236.16,15.24,1.0064611699691794
8AcQ8C9xa-A,person,323219c7,220.92,236.16,15.24,0.4531572188326622
EJMaCyibnsM,person,9dc04399,153.12,168.36,15.24,1.0133317200681573
EJMaCyibnsM,tie,1fa8052e,153.12,168.36,15.24,0.2779092964058349
EJMaCyibnsM,flag,27893563,272.4,287.64,15.24,0.6885047695512388
8AcQ8C9xa-A,packaged goods,3572d223,220.92,236.16,15.24,0.5091103326201909
EJMaCyibnsM,curtain,36b92053,153.12,168.36,15.24,1.8226801441641165
8AcQ8C9xa-A,person,f23e184b,220.92,236.16,15.24,0.5861514481118301
EJMaCyibnsM,person,556a70d7,272.4,287.64,15.24,0.9262441770666908
8AcQ8C9xa-A,person,adceb549,220.92,236.16,15.24,0.6536261028527593
EJMaCyibnsM,outerwear,606609bc,272.4,287.64,15.24,1.6323792668002937
p59ZDdxszkk,flag,1cc3b5e8,45.36,60.6,15.24,0.4063986189353899
QYgKCy64CV0,person,7d4b29fa,126.36,141.6,15.24,1.1911872388220996
QYgKCy64CV0,person,8f73589e,126.36,141.6,15.24,0.9272641803627568
QYgKCy64CV0,person,b871f5d8,126.36,141.6,15.24,0.4638606083412122
UXR_bqyAy4E,helmet,e7284dca,106.44,121.56,15.12,0.5701498226800016
EJMaCyibnsM,hat,22190309,380.28,395.4,15.12,1.094146907279674
8AcQ8C9xa-A,outerwear,a94f8d0f,221.04,236.16,15.12,0.5862157676000725
8AcQ8C9xa-A,person,cabbce4a,220.92,236.04,15.12,0.9010906170099042
WlLChq8FUxY,picture frame,2cc6b5ca,194.64,209.76,15.12,2.5746088027211758
WlLChq8FUxY,tie,c82cd578,194.64,209.76,15.12,0.3475401511938037
